STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130701,0.84,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130702,0.08,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130703,0.53,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130704,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130705,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130706,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130707,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130708,0.22,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130709,0.23,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130710,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130711,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130712,0.25,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130713,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130714,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130715,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130716,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130717,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130718,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130719,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130720,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130721,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130722,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130723,0.31,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130724,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130725,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130726,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130727,0.00,0.0,0.0
